,Movies_name,Year,Certificate,runtime,genere,rating,Metascore,Description,Cast,Votes
22,Dune,1984,PG-13,137,"Action, Adventure, Sci-Fi",6.4,41,A Duke's son leads desert warriors against the galactic emperor and his father's evil nemesis to free their desert world from the emperor's rule.,"Director:DavidLynch|Stars:KyleMacLachlan,VirginiaMadsen,FrancescaAnnis,LeonardoCimino",153095
23,Invasion,2021– ,TV-MA,60,"Drama, Fantasy, Sci-Fi",5.9,NA,Earth is visited by an alien species that threatens humanity's existence. Events unfold in real time through the eyes of five ordinary people across the globe as they struggle to make sense of the chaos unraveling around them.,"Stars:GolshiftehFarahani,ShamierAnderson,ShioliKutsuna,FirasNassar",12595
24,Black Widow,2021,PG-13,134,"Action, Adventure, Sci-Fi",6.7,67,Natasha Romanoff confronts the darker parts of her ledger when a dangerous conspiracy with ties to her past arises.,"Director:CateShortland|Stars:ScarlettJohansson,FlorencePugh,DavidHarbour,RachelWeisz",288107
25,Jurassic World: Dominion,2022,NA,NA,"Action, Adventure, Sci-Fi",NA,NA,Plot kept under wraps.,"Director:ColinTrevorrow|Stars:DaniellaPineda,BryceDallasHoward,ChrisPratt,JeffGoldblum",
26,DC League of Super-Pets,2022,NA,NA,"Animation, Action, Adventure",NA,NA,Superman's dog teams up with a flying cat to stop crime while Superman is on vacation.,"Directors:JaredStern,SamLevine|Stars:DwayneJohnson,KevinHart,KateMcKinnon,JohnKrasinski",
27,The Suicide Squad,2021,R,132,"Action, Adventure, Comedy",7.3,72,"Supervillains Harley Quinn, Bloodsport, Peacemaker and a collection of nutty cons at Belle Reve prison join the super-secret, super-shady Task Force X as they are dropped off at the remote, enemy-infused island of Corto Maltese.","Director:JamesGunn|Stars:MargotRobbie,IdrisElba,JohnCena,JoelKinnaman",255114
28,The Expanse,2015– ,TV-14,60,"Drama, Mystery, Sci-Fi",8.5,NA,"In the 24th century, a group of humans untangle a vast plot which threatens the Solar System's fragile state of detente.","Stars:WesChatham,StevenStrait,DominiqueTipper,ShohrehAghdashloo",126888
29,The Boys,2019– ,TV-MA,60,"Action, Crime, Drama",8.7,NA,A group of vigilantes set out to take down corrupt superheroes who abuse their superpowers.,"Stars:KarlUrban,JackQuaid,AntonyStarr,ErinMoriarty",325718
30,Masters of the Universe: Revelation,2021– ,TV-PG,25,"Animation, Action, Adventure",5.2,NA,The war for Eternia begins again in what may be the final battle between He-Man and Skeletor. A new animated series from writer-director Kevin Smith.,"Stars:ChrisWood,SarahMichelleGellar,LenaHeadey,MarkHamill",23905
31,Black Mirror,2011–2019,TV-MA,60,"Drama, Sci-Fi, Thriller",8.8,NA,"An anthology series exploring a twisted, high-tech multiverse where humanity's greatest innovations and darkest instincts collide.","Stars:DanielLapaine,HannahJohn-Kamen,MichaelaCoel,BeatriceRobertson-Jones",489559
